Periodo,General,Subyacente,Mercancias,Servicios,Nosubyacente,Agropecuarios,Energeticos
1986/04,71.11,73.03,,,64.77,,
1986/05,76.44,78.04,,,71.05,,
1986/06,83.17,85.26,,,76.05,,
1986/07,85.84,87.97,,,78.56,,
1986/08,92.25,90.09,,,99.71,,
1986/09,95.96,93.4,,,104.96,,
1986/10,99.58,97.77,,,106.05,,
1986/11,103.67,101.62,,,111.07,,
1986/12,105.75,107.88,,,98.79,,
1987/01,104.34,107.35,,,94.63,,
1987/02,109.76,111.92,,,102.56,,
1987/03,113.69,115.44,,,107.7,,
1987/04,120.86,119.08,,,126.99,,
1987/05,125,121.98,,,135.58,,
1987/06,126.73,122.86,,,140.63,,
1987/07,133.44,130.46,,,144.17,,
1987/08,133.88,133.99,,,133.51,,
1987/09,135.18,136.59,,,130.48,,
1987/10,141,141.41,,,139.57,,
1987/11,143.65,147.12,,,131.69,,
1987/12,159.17,158.02,,,163.08,,
1988/01,176.83,169.71,,,201.29,,
1988/02,179.73,176.85,,,189.78,,
1988/03,175.83,174.1,,,181.96,,
1988/04,161.44,162.92,,,156.5,,
1988/05,147.82,149.92,,,140.88,,
1988/06,135.81,135.78,,,135.94,,
1988/07,121.79,119.23,,,130.48,,
1988/08,106.92,106.29,,,108.97,,
1988/09,95.24,92.39,,,104.91,,
1988/10,81.59,78.02,,,93.96,,
1988/11,70.5,64.26,,,93.36,,
1988/12,51.66,48.76,,,61.34,,
1989/01,34.56,35.59,,,31.39,,
1989/02,25.89,25.31,,,27.83,,
1989/03,21.05,19.87,,,25.16,,
1989/04,19.2,17.91,,,23.6,,
1989/05,18.54,16.88,,,24.23,,
1989/06,17.58,16.37,,,21.62,,
1989/07,16.81,16.3,,,18.46,,
1989/08,16.85,16.5,,,17.99,,
1989/09,17.3,18.01,,,15.03,,
1989/10,18.13,19.35,,,14.26,,
1989/11,18.21,20.18,,,12.05,,
1989/12,19.7,21.45,,,14.31,,
1990/01,22.48,22.23,,,23.24,,
1990/02,23.57,22.02,,,28.63,,
1990/03,24.4,22.21,,,31.65,,
